Product/Service Name,Quantity on hand,Item type,Category,SKU,Price,Cost,Income Account,Expense Account,Inventory asset account,Sales Description,Purchase Description,Reorder Point,Preferred Supplier
BRAKE PAD MITSUBISHI KD 1544,2,Inventory,,,2250,1465.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
BRAKE PAD NISSAN MURANO KD1739,1,Inventory,,,2450,1465.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
BRAKE PAD PRADO REAR KD 2281,1,Inventory,,,1400,818.97,Sales of Product Income,Cost of sales,Inventory Asset,,,,
BRAKE PAD VIRGO KD2735,1,Inventory,,,1650,1077.59,Sales of Product Income,Cost of sales,Inventory Asset,,,,
BRAKEPAD KD 2506 MARK X REAR,2,Inventory,,,1700,1336.21,Sales of Product Income,Cost of sales,Inventory Asset,,,,
CABIN FILTER 87139-06050,11,Inventory,,,550,155.17,Sales of Product Income,Cost of sales,Inventory Asset,,,,
CABIN FILTER 87139-12010,3,Inventory,,,500,215.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
CABIN FILTER 87139-30040,12,Inventory,,,1000,301.72,Sales of Product Income,Cost of sales,Inventory Asset,,,,
CABIN FILTER 87139-47010,7,Inventory,,,500,163.79,Sales of Product Income,Cost of sales,Inventory Asset,,,,
CABLE TIES,101,Inventory,,,20,3.23,Sales of Product Income,Cost of sales,Inventory Asset,,,,
CAPLESS BULBS,8,Inventory,,,170,129.31,Sales of Product Income,Cost of sales,Inventory Asset,,,,
CARCURATOR AND CHOKE CLEANER,17,Inventory,,,450,258.62,Sales of Product Income,Cost of sales,Inventory Asset,,,,
Curio Shop Rent,0,Service,Rent Income,,45000,,Services:Rent Monthly  Income,,,,,,
DX DIESEL EXTRA,10285.18,Inventory,,,222.8,159.82,Sales of Product Income:Sales of Diesel Income,Cost of sales:Diesel Cost of Sales,Inventory Asset,,,,
EMPTY CYLINDER 13KG,14,Inventory,,,2000,3400,Sales of Product Income,Cost of sales,Inventory Asset,,,,
EMPTY CYLINDER 45KG,2,Inventory,,,11000,9400,Sales of Product Income,Cost of sales,Inventory Asset,,,,
EMPTY CYLINDER 6KG,7,Inventory,,,1800,1800,Sales of Product Income,Cost of sales,Inventory Asset,,,,
FUEL FILTER 04234-68010,1,Inventory,,,750,560.35,Sales of Product Income,Cost of sales,Inventory Asset,,,,
FUEL FILTER 1-13240-194-0/UF3014,3,Inventory,,,450,301.72,Sales of Product Income,Cost of sales,Inventory Asset,,,,
FUEL FILTER 23303-64010,-1,Inventory,,,550,344.83,Sales of Product Income,Cost of sales,Inventory Asset,,,0,
FUEL FILTER 23390-51070,10,Inventory,,,950,344.83,Sales of Product Income,Cost of sales,Inventory Asset,,,,
FUEL FILTER 23390-OL041/OL010,2,Inventory,,,550,344.83,Sales of Product Income,Cost of sales,Inventory Asset,,,,
FUEL FILTER 59E00,1,Inventory,,,500,172.41,Sales of Product Income,Cost of sales,Inventory Asset,,,,
FUEL FILTER 6FGF-5018,1,Inventory,,,1200,862.07,Sales of Product Income,Cost of sales,Inventory Asset,,,,
FUEL FILTER 8-94414796-3,2,Inventory,,,450,129.31,Sales of Product Income,Cost of sales,Inventory Asset,,,,
FUEL FILTER 9-885131111/SF1004/UFF3003,3,Inventory,,,250,86.21,Sales of Product Income,Cost of sales,Inventory Asset,,,,
FUEL FILTER D-MAX 8-972886947-0,2,Inventory,,,400,215.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
FUEL FILTER MB 220900,2,Inventory,,,450,301.72,Sales of Product Income,Cost of sales,Inventory Asset,,,,
FUEL FILTER ORG 23303-64010,0,Inventory,,,1000,172.41,Sales of Product Income,Cost of sales,Inventory Asset,,,0,
FUEL FILTER ORG 23390-51070,5,Inventory,,,1200,517.24,Sales of Product Income,Cost of sales,Inventory Asset,,,,
FUEL FILTER REVO 23390-OL070,1,Inventory,,,650,474.14,Sales of Product Income,Cost of sales,Inventory Asset,,,,
GAS REFILL  6KG,1,Inventory,,,1580,1210,Sales of Product Income:Sales of LPG Income,Cost of sales:LPG Cost of Sales,Inventory Asset,,,,
GAS REFILL 13KG,-2,Inventory,,,3510,2770,Sales of Product Income:Sales of LPG Income,Cost of sales:LPG Cost of Sales,Inventory Asset,,,,
GAS REFILL 45KG,3,Inventory,,,10790,6975,Sales of Product Income:Sales of LPG Income,Cost of sales:LPG Cost of Sales,Inventory Asset,,,,
GREASING RUNS - T1,0,Inventory,,,1000,469.81,Sales of Product Income,Cost of sales,Inventory Asset,,,,
HELIX HX5 15W40 - 1/2,1,Inventory,,,,,Sales of Product Income,Cost of sales,Inventory Asset,,,0,
HELIX HX5 15W40 - T1,154,Inventory,,,680,458.8,Sales of Product Income,Cost of sales,Inventory Asset,,,,
HELIX HX5 15W40 - T1/2,59,Inventory,,,320,247.63,Sales of Product Income,Cost of sales,Inventory Asset,,,,
HELIX HX5 15W40 - T4,65,Inventory,,,2565,1772.4,Sales of Product Income,Cost of sales,Inventory Asset,,,,
HELIX HX7 10W40  - T1,6,Inventory,,,885,682.51,Sales of Product Income,Cost of sales,Inventory Asset,,,,
